TSLA,Tesla Inc ,2015-05-09,Fiat Chrysler CEO says met with Tesla  Apple CEOs ,OAKVILLE  Ontario Fiat Chrysler Chief Executive Sergio Marchionne said on Saturday that he had visited the heads of Tesla Motors Inc and Apple Inc during a recent trip to California.,topStory
TSLA,Tesla Inc ,2015-05-09,UPDATE 1-Fiat Chrysler CEO says met with Tesla  Apple CEOs ,OAKVILLE  Ontario  May 9 Fiat Chrysler  Chief Executive Sergio Marchionne said on Saturday that he had visited the heads of Tesla Motors Inc and Apple Inc  during a recent trip to California.,normal
TSLA,Tesla Inc ,2015-05-09,Fiat Chrysler CEO says met with Tesla  Apple CEOs ,OAKVILLE  Ontario  May 9 Fiat Chrysler  Chief Executive Sergio Marchionne said on Saturday that he had visited with Tesla Motors Inc  Apple Inc and Google Inc during a recent trip to California.,normal
