TSLA,Tesla Inc ,2015-08-05,Tesla stock falls on wider loss  CEO comments on cash need ,DETROIT Shares of Tesla Motors Inc  fell about 6 percent on Wednesday after the electric car maker posted a wider quarterly loss and said it may raise more cash to offset heavy spending on expanded production.,topStory
TSLA,Tesla Inc ,2015-08-05,UPDATE 2-Tesla stock falls on wider loss  CEO comments on cash need ,DETROIT  Aug 5 Shares of Tesla Motors Inc  fell about 6 percent on Wednesday after the electric car maker posted a wider quarterly loss and said it may raise more cash to offset heavy spending on expanded production.,normal
TSLA,Tesla Inc ,2015-08-05,Tesla CEO says battery sales could hit 'a few billion dollars' in 2017 ,DETROIT Tesla Motors Inc's  new storage battery business could generate "a few billion dollars" in revenue in 2017  Chief Executive Elon Musk told analysts on Wednesday.,normal
TSLA,Tesla Inc ,2015-08-05,Tesla CEO says battery sales could hit 'a few billion dollars' in 2017 ,DETROIT  Aug 5 Tesla Motors Inc's new storage battery business could generate "a few billion dollars" in revenue in 2017  Chief Executive Elon Musk told analysts on Wednesday.,normal
TSLA,Tesla Inc ,2015-08-05,Electric car maker Tesla's net loss widens in 2nd quarter ,DETROIT  Aug 5 Electric car maker Tesla Motors Inc's net loss widened in the second quarter  and it continued to burn through cash ahead of the launch of its Model X crossover car and the opening of its Nevada battery factory  the company said Wednesday.,normal
